s2_cellid,men,women
10836450616658624512,1658271255.115383,2035189986.3255472
10836450651018362880,1724413518.087595,1958788329.2117286
10836450685378101248,2376190556.5397606,2934991085.459742
10836450719737839616,2177524315.2052765,2635933388.5209618
10836450754097577984,1731400333.2025552,2207700855.007901
10836450788457316352,1815502918.0646029,2180447392.8612328
10836450822817054720,2075470895.5901582,2413410763.3004627
10836450857176793088,1950572403.5149615,2288562354.095948
10836450891536531456,2006387233.4364932,2638240025.694042
10836450925896269824,1704252979.8485835,2103513738.2190738
10836450960256008192,1744685847.2969334,2172523734.315794
10836450994615746560,1428343760.7457623,1720381937.2600465
10836451028975484928,1418640609.0680308,1723016346.5606468
10836451063335223296,1531895031.8091552,1801020594.1201038
10836451097694961664,1449143708.6962655,1724797172.0210469
10836451132054700032,1666720787.1561098,2140729527.7871282
10836451166414438400,1612115738.6377378,2067817609.713274
10836451200774176768,1675354898.3179245,2221668794.150782
10836451235133915136,1921746839.041336,2446065330.2945027
10836451269493653504,1576002177.7270248,2018040024.9956584
10836451303853391872,1673560157.1570055,2032728153.1502028
10836451338213130240,1429751376.3343246,1727816238.8128858
10836451372572868608,1567089112.8503702,1948915890.6249952
10836451406932606976,1717421581.8252468,1720287904.340601
10836451441292345344,1567389825.886466,2007451736.4765103
10836451475652083712,1248518070.7699583,1645727286.5097163
10836451510011822080,1213416813.3419943,1410162014.7987494
10836451544371560448,1045439522.3693777,1181650923.988182
10836451578731298816,654776746.4664972,810130911.6382067
10836451613091037184,1499688724.569408,1575896025.7421124
10836451647450775552,1353392185.1199446,1505836221.0626512
10836451681810513920,1091427044.400032,1244791780.6486087
10836451716170252288,1207836974.8230488,1417122217.4457278
10836451750529990656,1483289332.7678664,1845901944.1543856
10836451784889729024,1421523507.4947343,1692537393.6516232
10836451819249467392,1538926449.9407916,1760599605.1509137
10836451853609205760,1528360631.336352,1887535582.8961194
10836451887968944128,1464080813.5085492,1877405427.2822604
10836451922328682496,1531215128.5113006,1904397011.1783469
10836451956688420864,1970577894.9643264,2480230271.6376724
10836451991048159232,1697757040.5624511,2114773287.199423
10836452025407897600,1723163293.3681216,2162743713.6490564
10836452059767635968,1705421833.7266104,2129383671.776194
10836452094127374336,1801747881.6984096,2211466368.1593184
10836452128487112704,1778064912.5268424,2291876308.615661
10836452162846851072,1916139795.0168748,2218485669.142179
10836452197206589440,1961204358.3086329,2297773354.5606146
10836452231566327808,1289382068.2566614,1550905023.8394327
10836452265926066176,1430799767.5578995,1752095970.7547922
10836452300285804544,1302604905.2584457,1434836275.9603841
10836452334645542912,578695945.3208703,643684068.3738837
10836452369005281280,1537529926.3249664,1705364698.1661594
10836452403365019648,1946444450.7497406,2310613540.9665112
10836452437724758016,1983260359.718886,2318633704.816203
10836452472084496384,1696907418.2671485,1962956419.6375456
10836452506444234752,2054577766.1395807,2400976398.120725
10836452540803973120,1587642690.9998984,1838375632.0305636
10836452575163711488,1915398497.1893852,2263766066.2553334
10836452609523449856,1957134596.8062053,2319714519.7267513
10836452643883188224,1748725360.1455817,1957025335.7942975
10836452678242926592,1695844559.0714042,1932315343.482053
10836452712602664960,1975650140.5123901,2142419341.7705288
10836452746962403328,1286806141.2593822,1503122599.1363606
10836452781322141696,1671618938.0935926,1943602254.6522408
10836452815681880064,1487768138.4972022,1709244643.1626105
10836452850041618432,1580777961.577262,1869404465.3666332
10836452884401356800,1618728387.6259608,1737444995.262745
10836452918761095168,2377329900.9658523,2419355632.4209723
10836452953120833536,1656453304.6886518,1863148712.5809236
10836452987480571904,1825149227.7262387,1965961506.9867463
10836453021840310272,1902113359.3208528,2048751869.491508
10836453056200048640,1806556985.060389,2007653031.052246
10836453090559787008,915893136.5563964,1000194006.3965889
10836453124919525376,1323607440.405015,1507384116.5268805
10836453159279263744,1445633737.6382895,1668695488.943796
10836453193639002112,1522363152.671146,1720116322.6714323
10836453227998740480,1679481805.6884418,1863511608.894696
10836453262358478848,1678376167.1253254,1892792753.6386337
10836453296718217216,1779650432.4003665,2037568867.0987735
10836453331077955584,1805073685.8264918,2178757030.617408
10836453365437693952,1752398302.821132,2111344762.8575475
10836453399797432320,1630767767.3601487,1946279094.507222
10836453434157170688,1641716461.3032086,1941504595.4697707
10836453468516909056,1655818643.7322032,1943871307.9848118
10836453502876647424,2048824639.6188323,2237726346.4456205
10836453537236385792,2029458575.9665685,2237641774.4744105
10836453571596124160,1740041397.4453604,2005580459.1067526
10836453605955862528,1886422471.779501,2174723781.9666867
10836453640315600896,1909155240.8726754,2172438720.3036065
10836453674675339264,1873793007.2500968,2135917303.893652
10836453709035077632,1912015522.8927445,2162719918.124877
10836453743394816000,2064868870.1535249,2276273380.463663
10836453777754554368,1283025110.0955548,1428254090.594593
10836453812114292736,396233117.0516541,443076294.6640514
10836453846474031104,218108678.99389833,238326298.93278217
10836453880833769472,1002823380.0659145,1095677396.7386844
10836453915193507840,1624706895.9411352,1785953732.4701457
10836453949553246208,1962210485.0383358,2082251787.486064
10836453983912984576,2735687059.9685125,3007866253.2855663
10836454018272722944,2331938967.1819367,2586482594.195727
10836454052632461312,2175584764.433015,2422943191.7702265
10836454086992199680,2187150291.108478,2474604703.4145336
10836454121351938048,1983235331.8372734,2191507493.129213
10836454155711676416,1755794072.7330494,1922440048.7796228
10836454190071414784,1465592520.0312934,1597007055.021207
10836454224431153152,2011521290.8635488,2199559845.0746384
10836454258790891520,1925005332.4011898,2199872797.2487755
10836454293150629888,1973732124.9580655,2280536852.514646
10836454327510368256,1606416455.3066,1830981029.6293952
10836454361870106624,2240315216.9366255,2476064673.757754
10836454396229844992,2351651554.4610815,2676073864.419565
10836454430589583360,2146805011.5038269,2455315478.1380033
10836454464949321728,2816494876.59279,3178362322.0463624
10836454499309060096,2658244238.247469,2943852700.1460295
10836454533668798464,2289252383.795372,2481544380.3999968
10836454568028536832,1920828189.407487,2018120951.6579835
10836454602388275200,620149529.0660998,656162541.6633701
10836454636748013568,931912597.3322804,1003189332.7956924
10836454671107751936,2551133306.2164264,2812574568.979355
10836454705467490304,2508594079.6484146,2787836718.5916705
10836454739827228672,1965785787.5381951,2176347549.1940413
10836454774186967040,228854116.70063883,254167292.00186586
10836454808546705408,913276345.8276185,1014292331.7914577
10836456560893362176,2086433977.8618004,2295053703.391816
10836456595253100544,518144917.7657628,566970901.9923763
10836456767051792384,1073715.68380669,1200651.7028250513
10836456835771269120,47499418.765566,52086590.0482219
10836456870131007488,462846506.3096449,504012371.55529803
10836456904490745856,1830190802.8556101,1940992985.353436
10836456938850484224,2619610653.446091,2800227995.9333153
10836456973210222592,2619415487.579169,2800019373.738377
10836457007569960960,1437947778.0138562,1526386848.3648915
10836457041929699328,53804289.298217505,56629931.0312686
10836457076289437696,378868181.80224866,404950361.3250205
10836457110649176064,53918215.08540765,57270642.966365635
10836457591685513216,61354363.168000355,65041189.979682915
10836457694764728320,484300794.5611797,513402769.7445612
10836457729124466688,624690321.4005145,662228401.9381871
10836457763484205056,21798683.477055073,23108581.690528907
10836457832203681792,336204258.4725997,356429547.05363065
10836457866563420160,215214669.28608721,228147732.04496115
10836457969642635264,231226545.83245134,245121111.51172563
10836458588117925888,87250034.90277891,92674907.53922112
10836458622477664256,731195585.0479572,791962096.6197196
10836458656837402624,135078627.5512645,150826977.15760183
10836458691197140992,822527891.633849,863480650.2668643
10836458725556879360,1470118176.896003,1610773998.2614214
10836458759916617728,1467212602.072216,1595453778.455739
10836458794276356096,1680894327.5316918,1754587394.6783948
10836458966075047936,21011155.438151263,23061844.208914828
10836459000434786304,109314398.59004264,119983483.8924308
10836459034794524672,314185392.5326427,344849886.8438287
10836459069154263040,37355501.20465927,41001398.12223402
10836459137873739776,129300656.27682525,124276704.39694859
10836459172233478144,498186656.2978334,480555906.34387106
