s2_cellid,18-25,26-35,36-45,46-55,56-65,66-75,75+
10836462264609931264,745814202.4067028,1589061830.9233274,1256463094.5611541,633555427.4844345,271685184.6250418,112303877.57294329,50274654.11576818
10836462298969669632,832410033.3143902,1583206026.6569128,1394158126.116593,738475436.9239842,319605630.2663167,122729425.71369158,52733530.48190294
10836462333329408000,973331032.8636264,1931384530.5186815,1611125883.1959772,972437438.5535699,512242182.3667004,201500652.90555844,86582165.81889307
10836462367689146368,1090507081.8253062,1703507908.4078295,1917400496.504009,1117330130.676436,596505588.8766192,276209272.13094383,142794157.8918656
10836462402048884736,692430787.8443605,734986215.2361333,751413720.0682863,788620713.3506422,509108601.4521835,252637279.38573277,162112355.35221428
10836462436408623104,619218926.9507205,587480140.1555122,738958450.7958994,787382370.4351118,410063003.0084449,184175589.4641343,90418040.25468338
10836462470768361472,716348717.8320922,692088113.8149712,606127925.1231905,814332184.2480494,538588311.4505453,264110742.21308237,130491442.58693571
10836462505128099840,716918923.254775,879868685.0662568,771851566.9552124,801919285.6421616,606825206.0925971,322553718.2466529,213981513.76805067
10836462539487838208,539501310.1100202,678443236.3849093,544448926.0545546,557584780.0617003,545476742.0544318,359424698.7996019,295812389.5351404
10836462573847576576,564857846.2216002,617991377.3042507,484422253.52516884,596270991.3350785,533393838.82965463,445659956.19285804,316228763.5833432
10836462608207314944,267640495.83884293,324546683.1552107,269283562.07037276,319259106.4209323,294169432.36680853,245869847.03344658,221158676.21808988
10836462642567053312,555671033.979617,621458716.0540407,512629383.44997245,553842215.5242246,525608144.26692206,402892386.64555365,300724473.4807272
10836462676926791680,727682925.9593472,738445747.8818483,716009637.2900007,695452904.437363,520500302.14365244,500367355.69009995,235802681.69968435
10836462711286530048,627366724.8566371,850243365.1849425,682373340.3345215,510930438.0617627,540008645.0346009,280496060.4734114,100921709.4000385
10836462745646268416,1040352939.8076427,997536059.2783091,843780414.4797854,913070891.3557198,488757340.07597935,184321443.12118703,68971333.26365231
10836462780006006784,1031287269.219746,1173858237.5123992,987669672.5704117,902339590.7200339,690856319.3276306,357442598.0941809,143099852.2267242
10836462814365745152,775647829.8345497,903240826.6777866,670472902.5004768,674460589.2812712,614675764.8840498,328510079.00489783,146763932.3801906
10836462848725483520,882075645.6713866,785928088.1349498,783024521.6455201,955006696.7001439,474709816.14289874,599652082.4458332,335906729.44304204
10836462883085221888,390199171.32505184,425364004.5510011,369628455.8460751,361501775.38435066,270425380.32766825,150520132.79986793,84898154.97045186
10836462917444960256,555943252.3688735,542983441.3915554,486807826.2183404,456125317.80080956,298087707.38270617,122394469.91458286,63897960.32811192
10836462951804698624,33828345.809728086,42060018.89588568,48488194.38704288,50713122.79300666,34235031.92395235,15977508.440044086,10040708.62327668
10836462986164436992,1376.465949513361,2163.017920663853,2556.293906239099,3146.207884601968,2457.9749098452876,1179.827956725738,786.551971150492
10836463020524175360,2640004.293922514,4148578.176163951,4902865.11728467,6034295.528965747,4714293.38200449,2262860.823362155,1508573.8822414367
